Protein	CNN_struct	CNN	RNN_struct	RNN	RNN_struct_track
Fusip	0.330636802049		0.504101871388		
HuR			0.632844416415		
PTB			0.499738699924		
RBM4			0.696569448569		
SF2			0.669905182197		
SLM2			0.535926072923		
U1A			0.630166762641		
VTS1			0.495976889515		
YB1	0.327772061522		0.370314032628		
RNCMPT00100	0.443425319649		0.744034939697	0.560669877424	
RNCMPT00101	0.632370377563		0.673364738424	0.437911996332	0.334321219757
RNCMPT00102	0.0517704163767		0.0642401316371	0.0591115924382	0.0658533079848
RNCMPT00103	-0.0777236893728		0.173729030713	0.156129856476	0.319616009505
RNCMPT00104	0.21620157488		0.247789715938	0.179954673876	0.0393596666481
RNCMPT00105	0.177667388228		0.182920041964	0.168147364781	0.176758640775
RNCMPT00106	0.735184131011		0.770650223347	0.604237680149	
RNCMPT00107	0.794202723938		0.812595495841	0.803273457585	
RNCMPT00108	0.805525027211		0.821397391056	0.816585278577	
RNCMPT00109	0.47900534363		0.677025568703	0.57258265505	
RNCMPT00010	0.596899495548		0.622245399665	0.557309184113	
RNCMPT00110	0.423560789939		0.472777391501	0.467649122694	
RNCMPT00111	0.131767430104		0.135974191947	0.0460864592178	
RNCMPT00112	0.532862040086		0.613010296956	0.594948043268	0.566897338784
RNCMPT00113	0.506543612339		0.624503033622	0.468299410431	
RNCMPT00114	0.384298208066		0.528703825612	0.414118679868	
RNCMPT00116	0.532515455512		0.617275890769	0.526287115068	
RNCMPT00117	0.45909970839		0.654830375545	0.637782125946	0.661744441162
RNCMPT00118	0.164097487621		0.25308938886	0.186335703752	
RNCMPT00119	-0.116570431213		0.0963518485568	0.101764934721	
RNCMPT00011	0.191358877838		0.260435831899	0.264459784109	
RNCMPT00120	0.557074045213		0.573602644591	0.550736885774	
RNCMPT00121	0.314877951948		0.382417566466	0.360474109733	0.433409630123
RNCMPT00122	0.493807150972		0.562867808742	0.491128015272	
RNCMPT00123	0.703570503018		0.748234203054	0.641938546052	
RNCMPT00124	0.556006752215		0.648200042549	0.527551772954	
RNCMPT00126	0.397796506945		nan	0.35814702875	0.382228920438
RNCMPT00127	0.280247136715		0.45519442391	0.395253402994	
RNCMPT00129	0.544051069811		0.606485623262	0.465435952962	
RNCMPT00012	0.335719221739		0.362754150047	0.340489147695	
RNCMPT00131	0.296961625091		0.334453122187	0.307252945269	
RNCMPT00132	0.350937869755		0.508824101636	0.423959294034	
RNCMPT00133	0.500417283707		0.644940096049	0.459563464865	
RNCMPT00134	0.624876265539		0.771472502378	0.750366109897	
RNCMPT00136	0.502826783215		0.610870885855	0.537258773416	
RNCMPT00137	0.28086887861		0.552025805778	0.473784614215	
RNCMPT00138	0.471718041627		0.564343173781	0.571849184607	
RNCMPT00139	0.615645030756		0.708358349984	0.712863661586	
RNCMPT00013	0.464700122273		0.493720600509	0.46540988753	
RNCMPT00140	0.44519005101		0.476346531522	0.473963300934	
RNCMPT00141	0.73091369057		0.783506736627	0.783725535465	
RNCMPT00142			0.345162483698	0.302765099974	
RNCMPT00143			0.551205219752	0.546524120422	
RNCMPT00144			0.480685525184	0.404057940558	
RNCMPT00145			0.538043316917	0.542611312702	
RNCMPT00146			0.67678638645	0.666666479212	
RNCMPT00147			0.614199119056	0.604902079229	
RNCMPT00148			0.524669874431	0.481250244	
RNCMPT00149	0.49810785449		0.593671019803	0.58993458347	
RNCMPT00014	0.557757849174		0.695126864531	0.710018157049	
RNCMPT00150	0.417150883871		0.459228180829	0.444371014303	
RNCMPT00151	0.504040330069		0.667361360347	0.658221222409	
RNCMPT00152	0.526720165027		0.612164407969	0.576296040263	
RNCMPT00153	0.391752430035		0.456257487953	0.396026007869	
RNCMPT00154	0.229849927504		0.268121763803	0.246721552014	
RNCMPT00155	0.404410058147		0.543675233056	0.528392362393	
RNCMPT00156	0.618104823176		0.724769560502	0.684860383712	
RNCMPT00157	0.561979866672		0.641670227078	0.650310027098	
RNCMPT00158	0.647271156264		0.764356269215	0.739150074239	
RNCMPT00159	0.338002311822		0.378064601342	0.331025735585	
RNCMPT00015	0.456277293602		0.488737048318	0.433779771594	
RNCMPT00160	0.751717989537		0.775343848044	0.770959385528	
RNCMPT00161	0.575517762743		0.59343056152	0.521302320648	
RNCMPT00162	0.509360487396		0.537490032889	0.47709927221	
RNCMPT00163	0.281358862334		0.281245672131	0.279985244334	
RNCMPT00164	0.519098578357		0.666593415399	0.675428060032	
RNCMPT00165	0.562355904212		0.640870092233	0.704373321319	0.669663534273
RNCMPT00166	0.697983071982		0.696907617252	0.697730150058	
RNCMPT00167	0.533130664826		0.6082133967	0.583637021828	
RNCMPT00168	0.683463703225		0.701473397536	0.709027725572	
RNCMPT00169	0.679087404604		0.699856942887	0.679187376903	
RNCMPT00016	0.692846193443		0.710877031479	0.693154492928	
RNCMPT00170	0.429302526515		0.56528946243	0.526029286619	
RNCMPT00171	0.69310430199		0.737495463449	0.724439215485	
RNCMPT00172	0.397156528293		0.548768994524	0.498673615602	0.509983478896
RNCMPT00173	0.658177954094		0.703921024068	0.681483130603	
RNCMPT00174	0.528478678216		0.586709594125	0.521784547408	
RNCMPT00175	0.518412679891		0.627429131047	0.593529937178	
RNCMPT00176	0.610748904466		0.749780617272	0.605490222403	
RNCMPT00177	0.39910156102		0.59256300804	0.497332297838	
RNCMPT00178	0.652030119409		0.739111300465	0.712684097529	
RNCMPT00179	0.638312961461		0.738993688245	0.691686266343	
RNCMPT00017	0.458803111501		0.575321311343	0.517979230426	
RNCMPT00180	0.639474647714		0.686293000245	0.596156792228	
RNCMPT00181	0.611577933351		0.584534630146	0.584423093738	
RNCMPT00182	0.383146790594		0.492513545756	0.457659613351	
RNCMPT00183	0.67899035739		0.715140095667	0.657798797285	
RNCMPT00184	0.677673370833		0.62540613928	0.691634900663	
RNCMPT00185	0.351477782017		0.462360838939	0.432395622946	
RNCMPT00186	0.381755850375		0.460164101936	0.453743361866	
RNCMPT00187	0.451442366104		0.50066543373	0.477753718352	
RNCMPT00018	0.476478017079		0.580961023388	0.594746243819	0.56177990794
RNCMPT00197	0.658852068688		0.726281271284	0.708255234129	
RNCMPT00199	0.662646825749		0.679997189144	0.658602724193	
RNCMPT00019	0.54167727228		0.642203795227	0.528531407072	
RNCMPT00001	nan		0.664440729241	0.550597180798	
RNCMPT00200	-0.120762218137		0.262664925862	0.220527600712	
RNCMPT00202	0.667428521008		0.708399113225	0.669775542092	
RNCMPT00203	0.290304644542		0.302418982571	0.307082178166	
RNCMPT00205	0.760069788748		0.790294805943	0.81062737445	
RNCMPT00206	0.559709557786		0.704881177977	0.689259954719	
RNCMPT00209	0.646313842224		0.739305188467	0.733018954443	
RNCMPT00020	0.410552143103		0.437799496044	0.446109499858	
RNCMPT00212	0.586976100969		0.624088196183	0.542782074465	
RNCMPT00215	0.721766831963		0.763081748674	0.749380329237	
RNCMPT00216	0.564049988456		0.63330292052	0.535281787224	
RNCMPT00217	0.664745896062		0.712495142313	0.639040268643	
RNCMPT00218	0.390165487326		0.429283060806	0.427056376827	
RNCMPT00219	0.652210035566		0.748508239802	0.483541673552	
RNCMPT00021	0.571100925403		0.605817391809	0.571336087187	
RNCMPT00220	0.515653909987		0.553424022342	0.535464079463	
RNCMPT00223	0.560087466406		0.669461732803	0.576498066836	
RNCMPT00224	0.437839415617		0.49667362965	0.371377750827	
RNCMPT00225	0.409156864747		0.563948562285	0.534032352578	
RNCMPT00226	0.578357790748		0.698260616589	0.667976533205	
RNCMPT00228	nan		0.268765297999	0.264021199495	
RNCMPT00229	0.603163513544		0.703236906323	0.705242368177	
RNCMPT00022	0.510290308919		0.767529222575	0.738736688384	
RNCMPT00230	0.621437980107		0.673384286043	0.698014044047	
RNCMPT00232	0.568736849074		0.711369749527	0.666311206821	
RNCMPT00234	0.597975432421		0.654968706643	0.448540278792	
RNCMPT00235	0.287738971541		0.565606318143	0.542386855864	
RNCMPT00236	0.542278494974		0.663444630856	0.618114402739	
RNCMPT00237	0.508695038677		0.624035452974	0.610625701015	
RNCMPT00238	0.797104471304		0.835541058322	0.836634025279	
RNCMPT00239	0.600329917859		0.624785777306	0.575537397253	
RNCMPT00023	0.695630747365		0.737066669444	0.656141771587	
RNCMPT00240	0.58483705901		0.651123693981	0.580334690937	
RNCMPT00241	0.715474457525		0.751434752038	0.738573563602	
RNCMPT00245	0.709494894714		0.713232992325	0.7327254002	
RNCMPT00246	0.745296664397		0.777103279611	0.765189040333	
RNCMPT00248	0.679193556592		0.711009040144	0.659819166715	
RNCMPT00249	nan		0.674517090183	0.551612243752	
RNCMPT00024	0.67848111272		0.682223761035	0.678574557387	
RNCMPT00251	0.287776102144		0.293925485813	0.299455041549	
RNCMPT00252	0.607728212453		0.63058515733	0.613744755666	
RNCMPT00253	0.608738636718		0.685482508672	0.697672059646	
RNCMPT00254	0.617932145998		0.631059123529	0.641264923248	
RNCMPT00255	-9.40586206169e-19		0.7656746513	0.718010910371	
RNCMPT00256	0.670882067469		0.726219594022	0.72857391625	
RNCMPT00257	0.738958258602		0.760817876997	0.685462552941	
RNCMPT00258	0.631626310223		0.756355365461	0.743829675257	
RNCMPT00259	0.537047555616		0.677369384807	0.637380243545	
RNCMPT00025	0.513896064316		0.517259632271	0.570998565264	0.555756804645
RNCMPT00261	0.609851458888		0.63243321671	0.611419205493	
RNCMPT00262	0.594734264432		0.680827155998	0.662107724076	
RNCMPT00263	0.700314318775		0.778944877255	0.743492671962	
RNCMPT00265	0.686253864607		0.736392099863	0.706245178584	
RNCMPT00268	0.727490632738		0.788197395781	0.774656266594	0.740895657366
RNCMPT00269	0.681666760588		0.76473927675	0.763249398929	0.736294690756
RNCMPT00026	0.517596763591		0.613640824763	0.619453704596	
RNCMPT00270	0.229516315531		0.252009933577	0.233285691793	
RNCMPT00272	0.54432163416		0.580079094158	0.505134781003	
RNCMPT00273	0.099950514488		0.116839595318	0.0934189089609	
RNCMPT00274	0.549339023043		0.665459289444	0.648822149403	0.591977271096
RNCMPT00278	0.54695173593		0.561722465086	0.534333062455	
RNCMPT00279	0.59188722979		0.608192149325	0.622602451004	
RNCMPT00027	0.61407669777		0.715267919786	0.671780437768	
RNCMPT00280	0.391202207558		0.394702728392	0.348576637123	
RNCMPT00281	0.472604270308		0.581459786686	0.59658822053	
RNCMPT00282	0.525156395856		0.609651021912	0.573800396827	
RNCMPT00283	0.708368530452		0.767419745557	0.774542871725	
RNCMPT00284	0.342678334248		0.618113703076	0.613762251366	
RNCMPT00285	0.662689815664		0.687033447542	0.65745462557	
RNCMPT00287	0.392246017991		0.445200636894	0.400097231396	
RNCMPT00288	0.660562766886		0.678341265099	0.686519425418	
RNCMPT00289	0.596786301461		0.640854026305	0.616068171311	
RNCMPT00028	0.381673179841		0.60338323723	0.47247353023	
RNCMPT00291	0.603744457054		0.668086917972	0.581750248326	
RNCMPT00029	0.422802936148		0.65595244006	0.479631558731	
RNCMPT00002	0.715135787086		0.753924702897	0.712248367277	
RNCMPT00031	0.430778079626		0.594226182779	0.290759400676	
RNCMPT00032	0.508470086012		0.676087001482	0.603287740757	0.565606713664
RNCMPT00033	0.651000927396		0.701985745271	0.652792669587	0.67599908908
RNCMPT00034	0.612280609463		0.653784576492	0.619207723406	
RNCMPT00035	0.256741461603		0.285094439403	0.273313461943	
RNCMPT00036	0.59308479524		0.663130138867	0.66633996642	
RNCMPT00037	0.637205306152		0.691113448434	0.601126179542	
RNCMPT00038	0.333092403186		0.385302639308	0.331023170179	
RNCMPT00039	0.232402098481		0.28789446476	0.242732114522	
RNCMPT00003	0.224263085471		0.586378648079	0.458707932306	
RNCMPT00040	0.557937543212		0.646084908714	0.517362043897	
RNCMPT00041	0.64868500223		0.697967152629	0.549994700465	
RNCMPT00042	0.130863823471		0.186142033802	0.129360132436	
RNCMPT00043	0.678896633845		0.749630028453	0.737704037625	
RNCMPT00044	0.208630601167		0.209333434408	0.204592743361	
RNCMPT00045	0.522342017516		0.569995636743	0.588897827133	
RNCMPT00046	0.385400287002		0.227088984403	0.270893809695	0.00967815001812
RNCMPT00047	0.052398372878		0.0453666165753	0.0641374388483	0.0739184458172
RNCMPT00049	0.660194937222		0.692436147257	0.635117893448	
RNCMPT00004	0.517748578478		0.716354693518	0.615208614985	
RNCMPT00050	0.683651399967		0.721603524244	0.713123154791	
RNCMPT00051	0.135694987312		0.210698876802	0.205410487605	
RNCMPT00052	0.593239003677		0.667596477192	0.58831417151	
RNCMPT00053	0.662239257684		0.708859864713	0.691947875844	
RNCMPT00054	-1.46972411371e-18		0.662420866416	0.650674035384	
RNCMPT00055	0.586820481614		0.572752312691	0.583742617572	
RNCMPT00056	0.402413338733		0.423604960855	0.381195700086	
RNCMPT00057	0.596462000669		0.638623677808	0.581530501145	
RNCMPT00058	0.601876025101		0.643809055813	0.632312935526	
RNCMPT00059	0.566658050923		0.609475567395	0.515097627798	
RNCMPT00005	0.644822040097		0.785426704211	0.70549756506	
RNCMPT00060	0.504008578332		0.516363179668	0.497484446138	
RNCMPT00061	0.480917042643		0.598817025165	0.605669617024	
RNCMPT00062	0.598157434852		0.657496458506	0.558978661639	
RNCMPT00063	0.254679076481		0.280635941534	0.253389107614	
RNCMPT00064	0.418792013821		0.542045809551	0.474597812667	
RNCMPT00065	0.00016401160347		0.208803741482	0.0861962382948	
RNCMPT00066	0.531799263431		0.617017497626	0.668883983584	0.639865005433
RNCMPT00067	0.487833214978		0.521295232678	0.487350177208	
RNCMPT00068	0.600567765343		0.67413904444	0.670475477529	
RNCMPT00069	0.649903015135		0.708552776044	0.665145374164	
RNCMPT00006	0.428055133099		0.58581687838	0.619640148354	
RNCMPT00070	0.572069898522		0.614030531881	0.556434083384	
RNCMPT00071	0.670514318243		0.75644423994	0.733191970584	
RNCMPT00072	0.678062124779		0.745213549966	0.728564613441	
RNCMPT00073	0.626174005592		0.64768073694	0.644614848377	
RNCMPT00074	0.397952928788		0.45630558692	0.45505733219	
RNCMPT00075	0.698064804644		0.736473962624	0.609261479578	
RNCMPT00076	0.695925665887		0.723733709903	0.743383457207	
RNCMPT00077	0.630345189983		0.691819046481	0.697295752527	
RNCMPT00078	0.605685288731		0.628594575055	0.559564578916	
RNCMPT00079	0.508415725543		0.559678210271	0.492677641991	
RNCMPT00007	0.450026635326		0.668953356292	0.478857183393	
RNCMPT00080	0.355656629146		0.392126355838	0.343606056685	
RNCMPT00081	0.648807518487		0.793533296115	0.765786007143	
RNCMPT00082	0.231715152625		0.279828588737	0.255417398216	
RNCMPT00083	0.541700078652		0.631351618619	0.536181344788	
RNCMPT00084	0.31185691041		0.4243698538	0.407134560623	
RNCMPT00085	0.421539312521		0.444242631546	0.432663665885	
RNCMPT00086	0.312669226482		0.314211933075	0.298697359307	
RNCMPT00087	0.608337341656		0.713462785828	0.521708608216	
RNCMPT00088	0.495174323683		0.391869983775	0.424943262245	
RNCMPT00089	0.329287213634		0.51044875662	0.391472524446	
RNCMPT00008	0.636604271136		0.669996010283	0.65009086987	
RNCMPT00090	0.382098408099		0.432276665997	0.382695571256	
RNCMPT00091	0.560486850272		0.609849616061	0.52888649926	
RNCMPT00093	0.305503456622		0.564661972031	0.411876325373	
RNCMPT00094	0.503554912629		0.583865323348	0.535880263484	
RNCMPT00095	0.791421743968		0.826420602907	0.824567845224	
RNCMPT00096	0.510024419734		0.54036691651	0.443413555058	
RNCMPT00097	0.574995829304		0.595365244389	0.496695596881	
RNCMPT00099	0.361644935048		0.65746352838	0.620782312086	
RNCMPT00009	0.413468590381		0.462627424835	0.408812681332	
